FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1AK,Duran Varlıklar,LONG TERM ASSETS,MIATK,0,0,6890477,0,7972641,9218670,12503200,13046939,13936386,15815308,44093809,25061531,20183751,22142802,69462717,51913124,58714896,69242536,134367534,109183740,125355725,103697330
1B,Ticari Alacaklar,Trade Receivables,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734627,77876,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7849831,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,MIATK,0,0,1097093,0,303373,295670,323897,294950,259115,233127,985189,583704,432941,408372,1557792,1132009,1200842,1255122,1630693,1336741,1346607,1386067
1BFA,Stoklar,Stoklar,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,MIATK,0,0,162319,0,114825,100571,74532,60036,47010,169783,338031,136312,93814,81613,224873,147946,141252,130737,146267,101644,84003,67534
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,MIATK,0,0,95583,0,79873,83026,72142,73866,75438,160797,429355,858828,859015,2309966,4354862,3247664,3276818,3329183,9337736,7924905,7697351,7456270
1BGA,Şerefiye,Goodwill,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
