FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
2N,Özkaynaklar,SHAREHOLDERS EQUITY,SMRTG,9959546,0,0,15604120,15023707,39014384,36482005,35343882,76454646,42846543,38115003,46696136,104196782,84136602,86873980,94461842,124704656,94565699,91367579,90370115
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,SMRTG,9579863,0,0,15077446,14487591,38495314,36322636,35384492,76995572,43133798,37993331,46617602,103933734,83993895,86720149,94449123,124683986,94533091,91407831,90535984
2OA,Ödenmiş Sermaye,Share Capital,SMRTG,4170490,0,0,10118613,9548416,10434071,9166397,8247045,16335682,15947633,11828556,22091446,20544364,18732609,18424037,17724859,17142469,16014294,15218374,14570868
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,SMRTG,0,0,0,0,0,21453555,0,16697967,27376933,10933112,8109223,4877939,20431105,14846774,15829512,16587132,21383191,17528606,17657989,18175425
2OCB,Değer Artış Fonları,Market Value Surpluses,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,SMRTG,0,0,0,0,-96271,-143224,-186401,-171902,88155,-151721,-155931,-150888,72653,114816,107378,137836,167500,281190,494452,588678
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,SMRTG,0,0,0,672152,447724,407710,583794,525242,1541550,700319,1160043,1094211,3364877,2488375,2710039,4488542,5786374,4743308,5753059,5921642
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),SMRTG,-2169685,0,0,-238649,-158965,5346514,4499284,4075272,6798193,13974443,9745033,1048025,-5145062,32611038,34712673,34725269,44765850,49529207,48920055,50353570
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),SMRTG,7390630,0,0,2871776,5991807,2142012,4758164,7411644,4736098,3078668,16284191,25294800,50081571,9034590,5004964,9629599,15654957,-7364198,-11934084,-17540769
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,SMRTG,188428,0,0,1653554,-1245120,-1145323,17501398,-1400776,20118961,-1348656,-8977783,-7637933,14584227,6165692,9931545,11155886,15424385,13800683,15297985,18466571
2ODA,Azınlık Payları,Minority Interests,SMRTG,379683,0,0,526675,536116,519070,159369,-40610,-540926,-287255,121672,78534,263048,142707,153831,12719,20670,32608,-40252,-165869
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,SMRTG,77772268,0,0,75508122,61284488,91944190,88690022,104491635,229247480,262968874,283884215,365284063,516523812,398839618,453682428,442588737,619710265,510819900,528931704,526335042
3B,Sürdürülen Faaliyetler,Continuing Operations,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,SMRTG,82489354,13873821,40731931,63710182,94801228,14667924,41811082,74213230,239138501,78054239,182072393,337873801,490376139,100691898,179854376,311396338,445564854,70959998,113085717,191598080
3CA,Satışların Maliyeti (-),Cost Of Sales,SMRTG,-65331178,-11079903,-36671396,-55142005,-79726219,-11395099,-34940941,-62050850,-202645001,-64345211,-145962869,-245887167,-378447819,-64861397,-140385156,-255323024,-358784240,-58722543,-89953984,-152424651
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,SMRTG,17158176,2793917,4060535,8568177,15075010,3272826,6870141,12162380,36493499,13709027,36109524,91986634,111928320,35830501,39469220,56073314,86780615,12237455,23131733,39173428
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),SMRTG,17158176,2793917,4060535,8568177,15075010,3272826,6870141,12162380,36493499,13709027,36109524,91986634,111928320,35830501,39469220,56073314,86780615,12237455,23131733,39173428
