FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,93805,0,0,0,0,0
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2N,Özkaynaklar,SHAREHOLDERS EQUITY,ASTOR,75162303,0,82271800,0,0,138057443,356877397,261644701,238791772,278912048,599168211,453301196,502584283,536227717,739023036,629893474,657030370,704777446
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,ASTOR,75162303,0,82271800,0,0,138057443,356877397,261644701,238791772,278912048,599168211,453301196,502584283,536227717,739023036,629893474,657030370,704777446
2OA,Ödenmiş Sermaye,Share Capital,ASTOR,25915523,0,63656107,0,0,45816916,45376895,52012216,38578099,36388828,33840489,30856182,30347906,29196226,28236918,26378599,25067567,24001000
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,ASTOR,0,0,0,0,0,0,0,0,0,0,79594596,0,0,64619417,83303693,68287169,68791214,70807017
2OCB,Değer Artış Fonları,Market Value Surpluses,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,ASTOR,1718847,0,2036051,0,0,2811999,8138477,8706974,6458069,6091580,15505022,11266628,12012905,23044467,29707621,24352454,24532206,25251078
