FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3CA,Satışların Maliyeti (-),Cost Of Sales,ALFAS,-26834762,-16479475,-24336410,-40524624,-15171000,-38566397,-56131394,-199321356,-104961169,-194015024,-268498477,-371026398,-73037867,-133084422,-185881075,-262963011,-41927947,-85523570,-138815237
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,ALFAS,6382328,1975361,3066702,8612242,2960975,8348693,12764043,52234276,23157863,51620292,86164193,97522809,-5580510,18083452,32455394,30769599,5036438,8932561,12164183
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),ALFAS,6382328,1975361,3066702,8612242,2960975,8348693,12764043,52234276,23157863,51620292,86164193,97522809,-5580510,18083452,32455394,30769599,5036438,8932561,12164183
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),ALFAS,-64759,-47590,-78569,-144212,-14136,-38942,-54416,-463032,-670795,-907014,-3156509,-7007259,-1657691,-2025595,-4408074,-7703167,-788325,-1342533,-2615785
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),ALFAS,-424648,-154696,-248305,-415844,-131998,-357470,-695899,-1578928,-1126549,-2338869,-4105241,-5180979,-1289477,-2418279,-3887582,-4716931,-726575,-1962445,-3304828
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-225455,-179657,-419180,-580686
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,ALFAS,1742752,1758771,2644099,5763736,2055151,4067411,5191162,12112527,2582315,7939068,14967259,17246044,3226108,5321703,7577827,9619819,4204710,7770107,11967858
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),ALFAS,-1773163,-2711098,-2431735,-11941784,-2826739,-5875125,-9498487,-19193844,-3922038,-41070263,-43687786,-51719320,-7766074,-9807741,-13435929,-16502899,-3719072,-6646239,-8829528
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,ALFAS,5862510,820748,2952192,1874138,2043253,6144567,7706403,43111000,20020795,15243214,50181916,50861296,-13067643,9153540,18301637,11240967,3827520,6332270,8801213
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,ALFAS,5892921,1773074,2739828,8052186,2814842,7952281,12013728,50192316,21360518,48374409,78902444,85334572,-8527678,13639578,24159738,18124046,3341881,5208403,5662884
3HA,Yatırım Faaliyetlerinden Gelirler,None,ALFAS,6306,7634,22439,12883,206212,589697,701857,3430407,10972446,29387684,29984975,36622134,6187637,11775247,12664180,14964472,7024964,9758540,17216333
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,ALFAS,0,-8051,0,-7117,0,-189404,-164686,-361250,-185976,-1153843,-1126367,-1119418,-1297590,-1282166,-1242731,-1271113,-6192105,-3145608,-3263227
3HAB,Diğer Gelir ve Giderler,None,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,ALFAS,798,-319950,-311496,-282836,0,0,0,0,0,0,0,0,0,437146,1598136,2408053,491872,1300676,1603976
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,ALFAS,5869614,500380,2663135,1597067,2249465,6544861,8243574,46180156,30807264,43477055,79040524,86364011,-8177597,20083767,31321222,27342378,5152251,14245877,24358296
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),ALFAS,1530559,828466,1167028,5400723,746541,3084326,5624992,11526439,2149806,14661834,18185608,21513245,1702903,4374357,7788681,10964391,1821884,3971518,5138352
