FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),MAVI,-6411119,-11911107,-17981489,-24657687,-6744131,-14100681,-22352751,-33891883,-7592096,-16643035,-29364496,-82072472,-22963904,-49835390,-71345840,-103339126,-21445896,-44525461,-54236803,-88872081,-18372120,-37191184
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),MAVI,-1292461,-2362777,-3648685,-4791574,-1409973,-2715647,-4399079,-5049217,-1062358,-2133867,-3224068,-10776219,-3893944,-7964927,-11644197,-17508965,-4124492,-8689919,-10847429,-17247575,-4573543,-9412352
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,MAVI,967016,1463869,3370119,2923069,1242386,1657703,3813563,5351285,1295957,3303443,4888040,11296773,1578198,6793814,14260852,22289620,6709146,7232892,6841574,8201525,5168153,3007359
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),MAVI,-306475,-287959,-414880,-412804,-171908,-161474,-244818,-802452,-251204,-625126,-712808,-5454345,-1712476,-4347398,-4331736,-6699237,-983514,-1075583,-1829151,-2162732,-147287,-369174
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,MAVI,-7943168,-6655158,12747233,12898103,8901427,30412057,62348832,78277713,33032582,61309281,97840913,166085599,50681933,99636843,180172005,209070552,73767955,104849230,122069703,166930811,41714217,59039574
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,MAVI,-8603708,-7831069,9791994,10387838,7830949,28915827,58780086,73728880,31987830,58630964,93665681,160243171,50816210,97190427,170242888,193480168,68042322,98691921,117057280,160892018,36693351,56401389
3HA,Yatırım Faaliyetlerinden Gelirler,None,MAVI,0,0,0,0,0,19012,18509,17703,0,593890,692887,1840444,136077,1391913,1764317,1966802,299770,408261,336803,418572,27003,29346
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,MAVI,-62963,-218516,-173584,-200639,-13234,-42460,-41338,-1345,-48452,-12091,-1634,-87210,-58644,-63331,-66940,-144449,0,-202328,-256227,-167263,-139151,-277801
3HAB,Diğer Gelir ve Giderler,None,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,MAVI,-8006131,-6873674,12573648,12697464,8888193,30388609,62326003,78294071,32984131,61891079,98532166,167838832,50759366,100965425,181869382,210892905,74067725,105055163,122150279,167182119,41602069,58791120
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),MAVI,5506903,13012481,20055591,23884159,6069192,10265238,13899609,18277797,3263509,8008282,11910417,35939610,12858416,30833843,42622730,62172265,17094405,39589804,42496344,63515821,12207351,21803998
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),MAVI,-8480726,-17898836,-27959095,-34806181,-8908584,-17803929,-27689025,-36178233,-8072390,-16983744,-26934553,-59196712,-24313296,-44757719,-69999110,-113852068,-26565013,-56352000,-65140861,-104133912,-23206477,-44796111
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,MAVI,-62963,-218516,-173584,-200639,-13234,-23448,-22828,16358,-48452,581799,691253,1753234,77433,1328582,1697377,1822353,299770,205933,80576,251309,-112148,-248455
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,MAVI,-10979953,-11760029,4670144,1775442,6048800,22849918,48536587,60393635,28175249,52915618,83508030,144581730,39304487,87041549,154493002,159213102,64597117,88292967,99505762,126564029,30602942,35799006
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,MAVI,2534552,2756445,-883661,-630946,-1122739,-5333067,-11433657,-12997435,-6569458,-5598462,-10749803,-28589629,-14807744,-28096732,-51279219,-54434609,-21437402,-24164591,-25468154,-34324368,-8265018,-8669070
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),MAVI,1611039,1034400,-2570502,-1360361,-2169855,-6956296,-13721054,-17458874,-6943402,-13791407,-21263764,-40442646,-12473208,-29235423,-46390835,-51352422,-19641302,-23787416,-26577850,-32783993,-10920794,-16581971
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,MAVI,923514,1722045,1686841,729415,1047116,1623229,2287398,4461440,373944,8192945,10513960,11853017,-2334535,1138691,-4888384,-3082187,-1796100,-377175,1109696,-1540375,2655776,7912901
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,MAVI,-8445401,-9003584,3786483,1144496,4926061,17516851,37102931,47396201,21605791,47317156,72758227,115992101,24496743,58944817,103213783,104778493,43159716,64128376,74037608,92239661,22337924,27129936
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,MAVI,-8445401,-9003584,3786483,1144496,4926061,17516851,37102931,47396201,21605791,47317156,72758227,115992101,24496743,58944817,103213783,104778493,43159716,64128376,74037608,92239661,22337924,27129936
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
